Competência;Temática;Título;Instituição;Modalidade;Carga Horária;Público-Alvo;Link
dfkdpfkpoakdf;Diversidade;INCLUSÃO DE GÊNERO NA PONTA DA LÍNGUA;https://acad-inpi.github.io/black/enap-logo.png;EAD;8 h/a;Gestores;https://www.escolavirtual.gov.br/curso/924
fddijfioajofijdsa;Diversidade;EMPRESAS E DIREITOS HUMANOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/333
dfifjia;Tecnologia da Informação;GERENCIAMENTO DE CONTINUIDADE DE NEGÓCIOS NA ADMINISTRAÇÃO PÚBLICA ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/808
dfkkap;Tecnologia da Informação;GOVERNO ABERTO ;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/140
kokokapoakpd;Tecnologia da Informação;APRENDENDO COM PYTHON ;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/629
kodksaosk;Tecnologia da Informação;NOVAS TECNOLOGIAS PARA A TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/367
dfkdpfkpoakdf;Tecnologia da Informação;GOVERNANÇA DE TIC NO CONTEXTO DA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/379
fddijfioajofijdsa;Tecnologia da Informação;FUNDAMENTOS DE SEGURANÇA DA INFORMAÇÃO NA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/916
dfifjia;Tecnologia da Informação;ELABORAÇÃO E MONITORAMENTO DO PDTIC ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/531
dfkkap;Tecnologia da Informação;INTELIGÊNCIA ARTIFICIAL NO CONTEXTO DO SERVIÇO PÚBLICO ;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/377
kokokapoakpd;Tecnologia da Informação;CRIAÇÃO DE INDICADORES DE DESEMPENHO PARA A TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/801
kodksaosk;Tecnologia da Informação;GERENCIAMENTO DE SERVIÇOS DE TIC FOCADO NA ADMINISTRAÇÃO PÚBLICA ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/535
dfkdpfkpoakdf;Tecnologia da Informação;AUTOMAÇÃO DE PROCESSOS ATRAVÉS DA RPA PARA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/797
