Competência;Temática;Título;Instituição;Carga Horária;LINK;MODALIDADE
dfkdpfkpoakdf;Tecnologia da Informação;ABORDAGEM LEAN APLICADA À TRANSFORMAÇÃO DIGITAL NA ADMINISTRAÇÃO PÚBLICA ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/524;EAD
fddijfioajofijdsa;Tecnologia da Informação;INTELIGÊNCIA ARTIFICIAL PARA LÍDERES;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://suap.enap.gov.br/vitrine/curso/2480/?area=11;REMOTO
dfifjia;Pesquisa com usuários;UX: COMO MELHORAR A EXPERIÊNCIA DO USUÁRIO NO SERVIÇO PÚBLICO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/537;EAD
dfkkap;Pesquisa com usuários;USER RESEARCH: ENTENDENDO AS NECESSIDADES DOS USUÁRIOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2075/?area=11;REMOTO
kokokapoakpd;Pesquisa com usuários;USER RESEARCH: AVALIANDO PROJETOS COM USUÁRIOS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2107/?area=11;REMOTO
kodksaosk;TECNOLOGIA DA INFORMAÇÃO;PRATICANDO A LGPD;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2054/?area=11;REMOTO
dfkdpfkpoakdf;TECNOLOGIA DA INFORMAÇÃO;OKR APLICADO À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/523;EAD
fddijfioajofijdsa;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/459;EAD
dfifjia;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;32 h/a;https://suap.enap.gov.br/vitrine/curso/2016/?area=2;REMOTO
dfkkap;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/840;EAD
